Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
BB11-1,U,63.95,0.09,18.81,0.55,0.09,0.01,0.04,0.27,1.47,2.36,12.84,0.21,0.03,0.11,0.08,0.09,0.00,0.02,0.04,0.09,0.07,0.13,2.953,0.003,1.024,0.019,0.004,0.001,0.002,0.007,0.027,0.211,0.756,5.006,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.003,0.012,0.015,0.002,0.212,0.759,0.027
BB11-1,U,64.40,0.02,18.59,0.72,0.09,0.01,0.02,0.09,0.85,2.28,13.28,0.21,0.03,0.11,0.08,0.07,0.01,0.00,0.03,0.07,0.07,0.13,2.966,0.001,1.009,0.025,0.004,0.001,0.001,0.002,0.015,0.204,0.780,5.008,0.010,0.002,0.011,0.006,0.005,0.001,0.000,0.002,0.003,0.012,0.015,0.001,0.204,0.780,0.015
BB11-1,U,64.91,0.02,18.80,0.39,0.09,0.01,0.02,0.23,0.46,1.37,14.83,0.21,0.03,0.11,0.08,0.08,0.01,0.02,0.04,0.06,0.06,0.14,2.972,0.001,1.014,0.013,0.003,0.001,0.001,0.006,0.008,0.122,0.866,5.007,0.010,0.002,0.011,0.005,0.006,0.001,0.002,0.002,0.002,0.011,0.016,0.001,0.122,0.869,0.008
BB11-1,U,64.32,0.02,18.59,0.57,0.09,0.01,0.02,0.20,1.40,2.40,12.66,0.21,0.03,0.11,0.08,0.08,0.00,0.00,0.04,0.08,0.07,0.13,2.968,0.001,1.011,0.020,0.004,0.001,0.001,0.005,0.025,0.215,0.745,4.996,0.010,0.002,0.011,0.006,0.006,0.000,0.000,0.002,0.003,0.012,0.015,0.001,0.218,0.756,0.026
BB11-1,U,64.57,0.02,18.69,0.77,0.09,0.01,0.02,0.17,0.55,1.33,14.66,0.21,0.03,0.11,0.08,0.08,0.00,0.02,0.04,0.07,0.06,0.14,2.966,0.001,1.012,0.027,0.004,0.001,0.001,0.005,0.010,0.118,0.859,5.003,0.010,0.002,0.011,0.006,0.006,0.000,0.002,0.002,0.003,0.011,0.016,0.001,0.120,0.869,0.010
BB11-1,U,65.44,0.02,17.70,0.39,0.09,0.01,0.02,0.04,0.21,1.32,15.22,0.21,0.04,0.10,0.08,0.16,0.00,0.02,0.03,0.05,0.06,0.14,3.011,0.001,0.960,0.014,0.004,0.001,0.001,0.001,0.004,0.118,0.893,5.007,0.011,0.003,0.010,0.006,0.012,0.000,0.002,0.002,0.002,0.011,0.016,0.001,0.116,0.879,0.004
BB11-1,U,63.46,0.02,18.56,0.96,0.09,0.01,0.02,0.09,2.07,1.30,14.09,0.21,0.03,0.11,0.09,0.00,0.01,0.00,0.04,0.10,0.06,0.14,2.951,0.001,1.017,0.034,0.004,0.001,0.001,0.002,0.038,0.117,0.836,5.000,0.010,0.002,0.011,0.006,0.000,0.001,0.000,0.002,0.004,0.011,0.016,0.001,0.118,0.843,0.038
BB11-1,U,64.13,0.05,18.72,0.70,0.09,0.01,0.02,0.18,1.64,1.43,13.99,0.21,0.02,0.11,0.09,0.08,0.00,0.03,0.04,0.09,0.06,0.14,2.959,0.002,1.018,0.024,0.004,0.001,0.001,0.005,0.030,0.128,0.823,4.994,0.010,0.001,0.011,0.006,0.006,0.000,0.003,0.002,0.003,0.011,0.016,0.001,0.130,0.839,0.030
BB11-1,U,64.21,0.02,19.17,0.68,0.09,0.01,0.02,0.11,1.69,1.40,13.49,0.21,0.04,0.11,0.08,0.08,0.02,0.03,0.04,0.09,0.06,0.13,2.954,0.001,1.039,0.024,0.004,0.001,0.001,0.003,0.030,0.125,0.792,4.972,0.010,0.003,0.011,0.006,0.006,0.003,0.003,0.002,0.003,0.011,0.015,0.001,0.132,0.835,0.032
BB11-1,U,62.96,0.09,19.17,0.65,0.09,0.01,0.01,0.04,2.58,0.91,14.55,0.21,0.03,0.11,0.09,0.08,0.02,0.02,0.04,0.11,0.05,0.14,2.929,0.003,1.051,0.023,0.004,0.001,0.000,0.001,0.047,0.082,0.863,5.004,0.010,0.002,0.011,0.006,0.006,0.003,0.002,0.002,0.004,0.009,0.016,0.001,0.083,0.869,0.047
BB11-1,U,62.23,0.02,19.11,0.53,0.10,0.01,0.02,0.15,3.28,0.76,14.76,0.21,0.03,0.11,0.08,0.08,0.02,0.02,0.04,0.12,0.04,0.14,2.920,0.001,1.057,0.019,0.004,0.001,0.001,0.004,0.060,0.069,0.883,5.018,0.010,0.002,0.011,0.006,0.006,0.003,0.002,0.002,0.004,0.007,0.017,0.001,0.068,0.871,0.059
BB11-1,U,65.10,0.02,18.31,0.80,0.09,0.01,0.02,0.11,0.69,3.49,11.81,0.21,0.03,0.11,0.09,0.09,0.00,0.02,0.04,0.07,0.09,0.13,2.978,0.001,0.987,0.028,0.003,0.001,0.001,0.003,0.012,0.310,0.689,5.013,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.003,0.016,0.015,0.001,0.306,0.681,0.012
BB11-1,U,65.78,0.02,18.49,0.61,0.09,0.01,0.10,0.15,0.54,4.64,9.81,0.21,0.03,0.11,0.09,0.09,0.02,0.02,0.04,0.06,0.10,0.11,2.986,0.001,0.989,0.021,0.003,0.001,0.005,0.004,0.010,0.408,0.568,4.996,0.010,0.002,0.011,0.006,0.007,0.003,0.002,0.002,0.002,0.017,0.013,0.005,0.412,0.573,0.010
BB11-1,U,64.34,0.02,18.58,0.65,0.10,0.01,0.02,0.11,1.31,0.87,15.08,0.21,0.03,0.11,0.08,0.09,0.00,0.03,0.04,0.08,0.05,0.14,2.968,0.001,1.010,0.023,0.004,0.001,0.001,0.003,0.024,0.078,0.887,4.998,0.010,0.002,0.011,0.006,0.007,0.000,0.003,0.002,0.003,0.009,0.016,0.001,0.079,0.896,0.024
BB11-1,U,62.61,0.10,19.06,0.79,0.10,0.01,0.02,0.09,3.28,1.05,14.38,0.21,0.03,0.11,0.08,0.09,0.00,0.02,0.04,0.11,0.05,0.14,2.919,0.004,1.047,0.028,0.004,0.001,0.001,0.002,0.060,0.095,0.855,5.015,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.004,0.009,0.016,0.001,0.094,0.846,0.059
