Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
HF1-PR,IrZ,65.01,0.02,19.07,0.07,0.10,0.01,0.19,0.04,0.65,2.97,12.08,0.21,0.03,0.11,0.09,0.09,0.00,0.02,0.05,0.07,0.08,0.13,2.972,0.001,1.027,0.002,0.004,0.001,0.009,0.001,0.012,0.263,0.704,4.996,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.003,0.003,0.014,0.015,0.009,0.266,0.713,0.012
HF1-PR,IrZ,64.72,0.02,19.52,0.07,0.09,0.01,0.18,0.04,0.52,3.36,11.83,0.21,0.04,0.11,0.08,0.07,0.00,0.02,0.03,0.07,0.09,0.12,2.952,0.001,1.049,0.002,0.003,0.001,0.009,0.001,0.009,0.297,0.688,5.014,0.010,0.003,0.011,0.005,0.005,0.000,0.002,0.002,0.003,0.016,0.014,0.009,0.296,0.686,0.009
HF1-PR,IrZ,63.97,0.02,19.67,0.07,0.10,0.01,0.26,0.04,1.28,3.03,11.52,0.21,0.02,0.11,0.07,0.09,0.00,0.03,0.04,0.09,0.08,0.12,2.941,0.001,1.066,0.002,0.004,0.001,0.013,0.001,0.023,0.270,0.676,4.997,0.010,0.001,0.011,0.005,0.007,0.000,0.003,0.002,0.003,0.014,0.014,0.013,0.275,0.688,0.023
HF1-PR,IrZ,64.82,0.02,19.68,0.16,0.09,0.01,0.21,0.11,1.02,3.20,11.59,0.21,0.05,0.11,0.07,0.08,0.02,0.02,0.04,0.08,0.08,0.12,2.948,0.001,1.055,0.005,0.003,0.001,0.010,0.003,0.018,0.282,0.672,4.999,0.010,0.003,0.011,0.005,0.006,0.003,0.002,0.002,0.003,0.014,0.014,0.010,0.287,0.684,0.018
HF1-PR,IrZ,64.81,0.02,19.37,0.07,0.09,0.03,0.13,0.04,0.44,2.86,12.83,0.21,0.02,0.11,0.07,0.00,0.01,0.02,0.03,0.07,0.08,0.13,2.956,0.001,1.041,0.002,0.003,0.002,0.006,0.001,0.008,0.253,0.747,5.021,0.010,0.001,0.011,0.005,0.000,0.001,0.002,0.002,0.003,0.014,0.015,0.006,0.250,0.736,0.008
HF1-PR,IrZ,64.84,0.02,18.83,0.06,0.10,0.01,0.11,0.04,0.61,2.81,12.52,0.21,0.02,0.11,0.07,0.09,0.00,0.02,0.04,0.07,0.08,0.13,2.977,0.001,1.019,0.002,0.004,0.001,0.005,0.001,0.011,0.250,0.733,5.004,0.010,0.001,0.011,0.005,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.005,0.250,0.733,0.011
HF1-PR,IrZ,64.47,0.02,18.97,0.07,0.18,0.01,0.20,0.04,1.22,3.17,12.22,0.21,0.03,0.11,0.07,0.09,0.00,0.02,0.04,0.08,0.08,0.13,2.958,0.001,1.026,0.002,0.007,0.001,0.010,0.001,0.022,0.282,0.715,5.025,0.010,0.002,0.011,0.005,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.010,0.274,0.695,0.021
HF1-PR,IrZ,64.88,0.02,19.16,0.07,0.09,0.01,0.11,0.04,0.68,3.02,12.19,0.21,0.03,0.11,0.08,0.09,0.00,0.02,0.04,0.07,0.08,0.13,2.967,0.001,1.033,0.002,0.003,0.001,0.005,0.001,0.012,0.268,0.711,5.004,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.005,0.269,0.714,0.012
HF1-PR,IrZ,64.83,0.02,19.17,0.23,0.10,0.01,0.13,0.04,0.48,3.24,12.20,0.21,0.03,0.11,0.08,0.08,0.00,0.02,0.05,0.07,0.08,0.13,2.960,0.001,1.032,0.008,0.004,0.001,0.006,0.001,0.009,0.287,0.711,5.018,0.010,0.002,0.011,0.005,0.006,0.000,0.002,0.003,0.003,0.014,0.015,0.006,0.283,0.702,0.008
HF1-PR,IrZ,65.16,0.02,19.37,0.07,0.10,0.01,0.14,0.04,0.75,2.92,12.41,0.21,0.03,0.11,0.07,0.09,0.02,0.02,0.00,0.07,0.08,0.13,2.962,0.001,1.038,0.002,0.004,0.001,0.007,0.001,0.013,0.257,0.720,5.006,0.010,0.002,0.011,0.005,0.007,0.003,0.002,0.000,0.002,0.014,0.015,0.007,0.258,0.722,0.013
HF1-PR,IrZ,64.82,0.02,19.24,0.07,0.09,0.01,0.13,0.04,0.61,3.10,12.31,0.21,0.00,0.11,0.08,0.08,0.00,0.02,0.04,0.07,0.08,0.13,2.961,0.001,1.036,0.002,0.003,0.001,0.006,0.001,0.011,0.275,0.717,5.015,0.010,0.000,0.011,0.005,0.006,0.000,0.002,0.002,0.003,0.014,0.015,0.006,0.272,0.711,0.011
HF1-PR,IrZ,64.60,0.02,18.87,0.07,0.10,0.01,0.14,0.04,0.41,2.88,11.80,0.21,0.03,0.11,0.07,0.09,0.01,0.02,0.04,0.07,0.08,0.12,2.980,0.001,1.026,0.002,0.004,0.001,0.007,0.001,0.007,0.258,0.694,4.981,0.010,0.002,0.011,0.005,0.007,0.001,0.002,0.002,0.003,0.014,0.014,0.007,0.267,0.719,0.008
HF1-PR,IrZ,63.50,0.02,19.16,0.07,0.10,0.01,0.20,0.09,1.00,2.49,12.67,0.21,0.03,0.11,0.06,0.09,0.00,0.02,0.04,0.08,0.07,0.13,2.950,0.001,1.049,0.002,0.004,0.001,0.010,0.002,0.018,0.224,0.751,5.012,0.010,0.002,0.011,0.004,0.007,0.000,0.002,0.002,0.003,0.012,0.015,0.010,0.224,0.748,0.018
HF1-PR,IrZ,63.64,0.02,18.96,0.07,0.11,0.01,0.18,0.15,1.27,2.89,11.82,0.21,0.02,0.11,0.08,0.09,0.02,0.02,0.04,0.09,0.08,0.12,2.958,0.001,1.038,0.002,0.004,0.001,0.009,0.004,0.023,0.260,0.701,5.002,0.010,0.001,0.011,0.006,0.007,0.003,0.002,0.002,0.003,0.014,0.014,0.009,0.262,0.706,0.023
HF1-PR,IrZ,63.91,0.02,19.76,0.07,0.09,0.01,0.17,0.04,1.21,2.76,12.29,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.09,0.08,0.13,2.936,0.001,1.070,0.002,0.004,0.001,0.008,0.001,0.022,0.246,0.720,5.010,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.008,0.247,0.723,0.022
HF1-PR,IrZ,64.62,0.02,19.28,0.07,0.09,0.01,0.17,0.04,0.85,3.35,11.85,0.21,0.05,0.11,0.07,0.09,0.02,0.02,0.00,0.08,0.09,0.12,2.956,0.001,1.039,0.002,0.003,0.001,0.008,0.001,0.015,0.297,0.692,5.016,0.010,0.003,0.011,0.005,0.007,0.003,0.002,0.000,0.003,0.016,0.014,0.008,0.294,0.683,0.015
HF1-PR,IrZ,62.58,0.02,19.97,0.06,0.09,0.01,0.24,0.22,2.47,2.85,11.83,0.21,0.03,0.11,0.07,0.07,0.01,0.02,0.04,0.11,0.08,0.12,2.905,0.001,1.093,0.002,0.004,0.001,0.012,0.006,0.045,0.257,0.701,5.025,0.010,0.002,0.011,0.005,0.006,0.001,0.002,0.002,0.004,0.014,0.014,0.012,0.253,0.691,0.044
HF1-PR,IrZ,65.11,0.02,19.42,0.23,0.10,0.01,0.25,0.16,0.64,3.62,12.05,0.21,0.03,0.11,0.08,0.10,0.00,0.03,0.04,0.07,0.09,0.13,2.947,0.001,1.036,0.008,0.004,0.001,0.012,0.004,0.011,0.318,0.696,5.037,0.010,0.002,0.011,0.005,0.008,0.000,0.003,0.002,0.002,0.016,0.015,0.012,0.306,0.671,0.011
HF1-PR,IrZ,63.05,0.02,20.31,0.07,0.09,0.01,0.27,0.52,2.10,2.44,11.88,0.21,0.05,0.11,0.08,0.08,0.00,0.03,0.04,0.10,0.07,0.12,2.906,0.001,1.103,0.002,0.004,0.001,0.013,0.014,0.038,0.218,0.699,4.999,0.010,0.003,0.011,0.006,0.006,0.000,0.003,0.002,0.004,0.012,0.014,0.014,0.225,0.722,0.039
HF1-PR,IrZ,63.70,0.02,19.25,0.07,0.10,0.01,0.17,0.09,0.92,2.92,12.58,0.21,0.02,0.11,0.07,0.10,0.01,0.02,0.03,0.08,0.08,0.13,2.944,0.001,1.049,0.002,0.004,0.001,0.008,0.002,0.017,0.262,0.742,5.031,0.010,0.001,0.011,0.005,0.008,0.001,0.002,0.002,0.003,0.014,0.015,0.008,0.254,0.721,0.016
HF1-PR,IrZ,64.95,0.02,19.10,0.24,0.09,0.01,0.14,0.04,0.41,3.28,12.21,0.21,0.03,0.11,0.08,0.08,0.02,0.02,0.04,0.07,0.08,0.13,2.963,0.001,1.027,0.008,0.003,0.001,0.007,0.001,0.007,0.290,0.711,5.019,0.010,0.002,0.011,0.005,0.006,0.003,0.002,0.002,0.003,0.014,0.015,0.007,0.286,0.700,0.007
HF1-PR,IrZ,64.79,0.02,18.85,0.07,0.09,0.01,0.19,0.04,0.33,3.00,12.10,0.21,0.00,0.11,0.07,0.07,0.00,0.02,0.04,0.06,0.08,0.13,2.977,0.001,1.021,0.002,0.004,0.001,0.009,0.001,0.006,0.267,0.709,4.999,0.010,0.000,0.011,0.005,0.005,0.000,0.002,0.002,0.002,0.014,0.015,0.009,0.269,0.715,0.006
HF1-PR,IrZ,63.33,0.02,19.93,0.07,0.10,0.01,0.28,0.16,2.19,2.68,11.31,0.21,0.04,0.11,0.07,0.09,0.01,0.03,0.04,0.10,0.08,0.12,2.926,0.001,1.085,0.002,0.004,0.001,0.014,0.004,0.040,0.240,0.667,4.983,0.010,0.003,0.011,0.005,0.007,0.001,0.003,0.002,0.004,0.014,0.014,0.014,0.250,0.694,0.041
HF1-PR,IrZ,64.05,0.02,19.37,0.07,0.09,0.01,0.17,0.17,1.49,2.74,12.20,0.21,0.03,0.11,0.07,0.08,0.00,0.02,0.04,0.09,0.08,0.13,2.947,0.001,1.050,0.002,0.004,0.001,0.008,0.005,0.027,0.244,0.716,5.006,0.010,0.002,0.011,0.005,0.006,0.000,0.002,0.002,0.003,0.014,0.015,0.008,0.245,0.719,0.027
HF1-PR,IrZ,62.87,0.02,19.86,0.21,0.10,0.01,0.30,0.22,2.57,2.47,11.01,0.21,0.03,0.11,0.08,0.09,0.01,0.03,0.04,0.11,0.07,0.12,2.923,0.001,1.088,0.007,0.004,0.001,0.015,0.006,0.047,0.223,0.653,4.967,0.010,0.002,0.011,0.006,0.007,0.001,0.003,0.002,0.004,0.013,0.014,0.016,0.238,0.697,0.050
HF1-PR,IrZ,64.76,0.02,19.20,0.07,0.10,0.01,0.20,0.04,0.71,2.92,12.27,0.21,0.03,0.11,0.08,0.09,0.00,0.02,0.04,0.08,0.08,0.13,2.963,0.001,1.035,0.002,0.004,0.001,0.010,0.001,0.013,0.259,0.716,5.005,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.010,0.260,0.718,0.013
HF13-3,MCZl,63.95,0.02,19.78,0.07,0.10,0.01,0.08,0.04,0.84,2.94,12.30,0.21,0.03,0.11,0.07,0.00,0.02,0.02,0.03,0.08,0.08,0.13,2.937,0.001,1.070,0.002,0.004,0.001,0.004,0.001,0.015,0.262,0.721,5.017,0.010,0.002,0.011,0.005,0.000,0.003,0.002,0.002,0.003,0.014,0.015,0.004,0.261,0.720,0.015
HF13-3,MCZl,62.69,0.02,19.50,0.07,0.10,0.01,0.10,0.10,1.34,2.71,11.94,0.21,0.03,0.11,0.07,0.09,0.00,0.02,0.04,0.09,0.07,0.13,2.933,0.001,1.075,0.002,0.004,0.001,0.005,0.003,0.025,0.246,0.713,5.007,0.010,0.002,0.011,0.005,0.007,0.000,0.002,0.002,0.003,0.013,0.015,0.005,0.249,0.721,0.025
HF13-3,MCZl,63.22,0.02,19.98,0.07,0.10,0.01,0.12,0.04,0.83,2.84,12.47,0.21,0.03,0.11,0.08,0.10,0.00,0.02,0.04,0.08,0.08,0.13,2.921,0.001,1.088,0.002,0.004,0.001,0.006,0.001,0.015,0.254,0.735,5.028,0.010,0.002,0.011,0.006,0.008,0.000,0.002,0.002,0.003,0.014,0.015,0.006,0.252,0.727,0.015
HF13-3,MCZl,63.22,0.02,19.44,0.07,0.10,0.01,0.15,0.15,0.38,3.61,11.70,0.21,0.04,0.11,0.08,0.10,0.01,0.03,0.04,0.07,0.09,0.13,2.934,0.001,1.063,0.002,0.004,0.001,0.007,0.004,0.007,0.325,0.693,5.041,0.011,0.003,0.011,0.006,0.008,0.001,0.003,0.002,0.003,0.016,0.015,0.007,0.315,0.671,0.007
HF13-3,MCZl,64.33,0.02,19.24,0.07,0.19,0.01,0.08,0.04,0.99,2.79,12.28,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.08,0.08,0.13,2.958,0.001,1.043,0.002,0.007,0.001,0.004,0.001,0.018,0.249,0.720,5.003,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.004,0.251,0.727,0.018
HF13-3,MCZl,63.74,0.02,19.29,0.07,0.09,0.01,0.12,0.04,1.00,2.85,12.14,0.21,0.03,0.11,0.07,0.09,0.01,0.02,0.04,0.08,0.08,0.13,2.950,0.001,1.052,0.002,0.004,0.001,0.006,0.001,0.018,0.256,0.717,5.008,0.010,0.002,0.011,0.005,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.006,0.257,0.719,0.018
HF13-3,MCZl,65.54,0.02,19.29,0.07,0.10,0.01,0.11,0.12,1.07,2.72,12.53,0.21,0.00,0.11,0.07,0.09,0.00,0.02,0.04,0.09,0.07,0.13,2.969,0.001,1.030,0.002,0.004,0.001,0.005,0.003,0.019,0.239,0.724,4.996,0.010,0.000,0.011,0.005,0.007,0.000,0.002,0.002,0.003,0.012,0.015,0.005,0.242,0.733,0.019
HF13-3,MCZl,59.88,0.02,25.24,0.07,0.10,0.01,6.52,0.04,0.07,6.56,0.79,0.21,0.03,0.13,0.07,0.09,0.01,0.10,0.04,0.05,0.11,0.04,2.684,0.001,1.333,0.002,0.004,0.001,0.313,0.001,0.001,0.570,0.045,4.955,0.011,0.002,0.012,0.005,0.007,0.001,0.009,0.002,0.002,0.019,0.005,0.337,0.613,0.049,0.001
HF13-3,MCZl,64.99,0.02,19.68,0.15,0.10,0.01,0.07,0.04,1.00,2.99,12.40,0.21,0.03,0.11,0.07,0.09,0.02,0.02,0.04,0.08,0.08,0.13,2.948,0.001,1.052,0.005,0.004,0.001,0.003,0.001,0.018,0.263,0.717,5.013,0.010,0.002,0.011,0.005,0.007,0.003,0.002,0.002,0.003,0.014,0.015,0.003,0.263,0.716,0.018
HF13-3,MCZl,64.50,0.02,19.54,0.07,0.10,0.01,0.12,0.11,1.13,2.76,12.14,0.21,0.04,0.11,0.08,0.10,0.00,0.02,0.04,0.08,0.08,0.13,2.952,0.001,1.054,0.002,0.004,0.001,0.006,0.003,0.020,0.245,0.709,4.996,0.010,0.003,0.011,0.006,0.008,0.000,0.002,0.002,0.003,0.014,0.015,0.006,0.250,0.723,0.021
HF13-3,MCZl,64.66,0.02,19.47,0.17,0.10,0.01,0.17,0.04,0.21,4.13,10.80,0.21,0.03,0.11,0.07,0.09,0.02,0.02,0.04,0.06,0.09,0.12,2.952,0.001,1.048,0.006,0.004,0.001,0.008,0.001,0.004,0.366,0.629,5.018,0.010,0.002,0.011,0.005,0.007,0.003,0.002,0.002,0.002,0.016,0.014,0.008,0.363,0.625,0.004
HF13-3,MCZl,63.13,0.02,18.99,0.07,0.20,0.01,0.11,0.08,0.62,3.07,12.40,0.21,0.03,0.11,0.07,0.10,0.02,0.02,0.03,0.07,0.08,0.13,2.946,0.001,1.044,0.002,0.008,0.001,0.005,0.002,0.011,0.278,0.738,5.038,0.010,0.002,0.011,0.005,0.008,0.003,0.002,0.002,0.003,0.014,0.015,0.005,0.269,0.715,0.011
HF13-3,MCZl,62.25,0.02,19.45,0.07,0.10,0.01,0.10,0.13,1.58,3.05,12.23,0.21,0.03,0.11,0.07,0.09,0.01,0.02,0.04,0.09,0.08,0.13,2.918,0.001,1.075,0.002,0.004,0.001,0.005,0.004,0.029,0.277,0.731,5.047,0.010,0.002,0.011,0.005,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.005,0.266,0.701,0.028
HF13-3,MCZl,63.92,0.02,19.50,0.07,0.10,0.01,0.09,0.08,1.11,2.71,12.30,0.21,0.03,0.11,0.07,0.10,0.01,0.02,0.03,0.08,0.08,0.13,2.946,0.001,1.059,0.002,0.004,0.001,0.004,0.002,0.020,0.242,0.723,5.005,0.010,0.002,0.011,0.005,0.008,0.001,0.002,0.002,0.003,0.014,0.015,0.004,0.245,0.731,0.020
HF13-3,MCZl,62.31,0.02,19.70,0.07,0.23,0.01,0.09,0.04,0.87,2.91,12.05,0.21,0.00,0.11,0.07,0.09,0.02,0.02,0.04,0.08,0.08,0.13,2.920,0.001,1.088,0.002,0.009,0.001,0.005,0.001,0.016,0.264,0.720,5.027,0.010,0.000,0.011,0.005,0.007,0.003,0.002,0.002,0.003,0.014,0.015,0.004,0.263,0.717,0.016
HF3-PR,HFZ,64.77,0.02,19.30,0.12,0.09,0.01,0.13,0.11,0.68,2.50,12.72,0.21,0.02,0.11,0.06,0.08,0.00,0.02,0.04,0.07,0.07,0.13,2.962,0.001,1.040,0.004,0.003,0.001,0.006,0.003,0.012,0.222,0.742,4.997,0.010,0.001,0.011,0.004,0.006,0.000,0.002,0.002,0.003,0.012,0.015,0.006,0.226,0.755,0.012
HF3-PR,HFZ,61.37,0.02,24.42,0.23,0.08,0.01,4.96,0.26,0.06,7.74,0.70,0.21,0.03,0.12,0.06,0.08,0.01,0.08,0.04,0.05,0.13,0.03,2.732,0.001,1.281,0.008,0.003,0.001,0.237,0.007,0.001,0.668,0.040,4.977,0.010,0.002,0.012,0.004,0.006,0.001,0.008,0.002,0.002,0.022,0.003,0.250,0.707,0.042,0.001
HF3-PR,HFZ,63.22,0.02,19.64,0.06,0.09,0.01,0.20,0.13,1.64,2.82,12.08,0.21,0.03,0.11,0.00,0.08,0.01,0.02,0.04,0.09,0.08,0.13,2.928,0.001,1.072,0.002,0.004,0.001,0.010,0.003,0.030,0.253,0.714,5.017,0.010,0.002,0.011,0.000,0.006,0.001,0.002,0.002,0.003,0.014,0.015,0.010,0.252,0.709,0.030
HF3-PR,HFZ,62.46,0.02,23.17,0.19,0.09,0.01,4.01,0.04,0.06,8.82,1.10,0.21,0.02,0.12,0.07,0.14,0.00,0.07,0.03,0.05,0.13,0.04,2.779,0.001,1.215,0.006,0.003,0.001,0.191,0.001,0.001,0.761,0.062,5.021,0.011,0.001,0.012,0.005,0.011,0.000,0.007,0.002,0.002,0.022,0.005,0.188,0.749,0.061,0.001
HF3-PR,HFZ,64.13,0.02,19.34,0.06,0.08,0.01,0.11,0.04,1.39,2.42,12.68,0.21,0.03,0.11,0.06,0.08,0.00,0.02,0.04,0.09,0.07,0.13,2.953,0.001,1.049,0.002,0.003,0.001,0.005,0.001,0.025,0.216,0.745,5.001,0.010,0.002,0.011,0.004,0.006,0.000,0.002,0.002,0.003,0.012,0.015,0.005,0.218,0.751,0.025
HF3-PR,HFZ,64.51,0.02,19.64,0.06,0.16,0.01,0.09,0.04,0.86,2.30,12.77,0.21,0.04,0.11,0.06,0.08,0.01,0.02,0.04,0.07,0.07,0.13,2.952,0.001,1.059,0.002,0.006,0.001,0.004,0.001,0.015,0.204,0.745,4.991,0.010,0.003,0.011,0.004,0.006,0.001,0.002,0.002,0.003,0.012,0.015,0.005,0.211,0.769,0.016
HF3-PR,HFZ,64.28,0.02,19.66,0.06,0.09,0.01,0.11,0.11,0.83,2.60,12.55,0.21,0.00,0.11,0.06,0.08,0.01,0.02,0.04,0.07,0.08,0.13,2.946,0.001,1.062,0.002,0.003,0.001,0.005,0.003,0.015,0.231,0.734,5.003,0.010,0.000,0.011,0.004,0.006,0.001,0.002,0.002,0.003,0.014,0.015,0.005,0.235,0.745,0.015
HF3-PR,HFZ,62.74,0.02,23.06,0.30,0.09,0.01,4.13,0.12,0.06,8.81,0.97,0.21,0.02,0.12,0.07,0.10,0.01,0.08,0.03,0.06,0.13,0.04,2.783,0.001,1.205,0.010,0.003,0.001,0.196,0.003,0.001,0.758,0.055,5.015,0.011,0.001,0.012,0.005,0.008,0.001,0.007,0.002,0.002,0.022,0.005,0.194,0.750,0.054,0.001
HF3-PR,HFZ,68.43,0.02,20.05,0.06,0.09,0.01,0.08,0.04,0.06,11.06,0.15,0.22,0.02,0.11,0.06,0.07,0.02,0.02,0.04,0.05,0.15,0.02,2.984,0.001,1.030,0.002,0.003,0.001,0.004,0.001,0.001,0.935,0.008,4.971,0.010,0.001,0.011,0.004,0.005,0.003,0.002,0.002,0.002,0.024,0.002,0.004,0.986,0.009,0.001
HF3-PR,HFZ,64.56,0.02,19.32,0.06,0.09,0.01,0.09,0.09,0.58,2.83,13.04,0.21,0.00,0.11,0.09,0.09,0.00,0.02,0.04,0.07,0.08,0.13,2.953,0.001,1.041,0.002,0.003,0.001,0.004,0.002,0.010,0.251,0.761,5.030,0.010,0.000,0.011,0.006,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.004,0.244,0.741,0.010
HF3-PR,HFZ,63.84,0.02,19.45,0.06,0.09,0.01,0.24,0.15,1.29,2.88,11.98,0.21,0.03,0.11,0.07,0.08,0.02,0.02,0.04,0.08,0.08,0.13,2.943,0.001,1.057,0.002,0.004,0.001,0.012,0.004,0.023,0.257,0.704,5.008,0.010,0.002,0.011,0.005,0.006,0.003,0.002,0.002,0.003,0.014,0.015,0.012,0.258,0.707,0.023
HF3-PR,HFZ,63.98,0.02,19.56,0.06,0.08,0.01,0.15,0.04,0.51,2.71,13.22,0.21,0.03,0.11,0.06,0.08,0.01,0.02,0.04,0.06,0.08,0.13,2.939,0.001,1.059,0.002,0.003,0.001,0.007,0.001,0.009,0.241,0.775,5.038,0.010,0.002,0.011,0.004,0.006,0.001,0.002,0.002,0.002,0.014,0.015,0.007,0.234,0.750,0.009
HF3-PR,HFZ,64.70,0.02,19.06,0.15,0.08,0.01,0.10,0.04,0.52,2.49,12.49,0.21,0.04,0.11,0.06,0.08,0.01,0.02,0.03,0.07,0.07,0.13,2.973,0.001,1.032,0.005,0.003,0.001,0.005,0.001,0.009,0.222,0.732,4.984,0.010,0.003,0.011,0.004,0.006,0.001,0.002,0.002,0.003,0.012,0.015,0.005,0.229,0.756,0.010
HF3-PR,HFZ,63.90,0.02,19.34,0.24,0.09,0.01,0.18,0.13,0.78,2.59,12.87,0.21,0.05,0.11,0.06,0.08,0.00,0.02,0.03,0.07,0.08,0.13,2.943,0.001,1.050,0.008,0.004,0.001,0.009,0.003,0.014,0.231,0.756,5.020,0.010,0.003,0.011,0.004,0.006,0.000,0.002,0.002,0.003,0.014,0.015,0.009,0.229,0.748,0.014
HF3-PR,HFZ,63.99,0.05,19.57,0.06,0.09,0.01,0.19,0.10,1.06,2.68,12.64,0.21,0.02,0.11,0.05,0.09,0.00,0.02,0.04,0.08,0.08,0.13,2.940,0.002,1.059,0.002,0.004,0.001,0.009,0.003,0.019,0.239,0.741,5.018,0.010,0.001,0.011,0.003,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.009,0.237,0.735,0.019
HF3-PR,HFZ,64.20,0.02,19.76,0.15,0.08,0.01,0.16,0.04,0.88,2.59,12.68,0.21,0.03,0.11,0.06,0.08,0.00,0.02,0.04,0.07,0.08,0.13,2.939,0.001,1.066,0.005,0.003,0.001,0.008,0.001,0.016,0.230,0.740,5.010,0.010,0.002,0.011,0.004,0.006,0.000,0.002,0.002,0.003,0.014,0.015,0.008,0.231,0.745,0.016
HF3-PR,HFZ,64.45,0.02,18.89,0.23,0.08,0.01,0.12,0.11,0.81,2.57,12.54,0.21,0.03,0.11,0.07,0.08,0.01,0.02,0.04,0.07,0.07,0.13,2.969,0.001,1.026,0.008,0.003,0.001,0.006,0.003,0.015,0.230,0.737,4.997,0.010,0.002,0.011,0.005,0.006,0.001,0.002,0.002,0.003,0.012,0.015,0.006,0.233,0.747,0.015
HF3-PR,HFZ,64.70,0.02,18.77,0.06,0.09,0.01,0.11,0.04,0.85,2.62,12.92,0.21,0.02,0.11,0.06,0.08,0.02,0.02,0.03,0.07,0.08,0.13,2.974,0.001,1.017,0.002,0.004,0.001,0.005,0.001,0.015,0.234,0.758,5.011,0.010,0.001,0.011,0.004,0.006,0.003,0.002,0.002,0.003,0.014,0.015,0.005,0.231,0.749,0.015
HF3-PR,HFZ,64.52,0.02,19.32,0.06,0.09,0.01,0.11,0.11,1.03,2.83,12.61,0.21,0.03,0.11,0.06,0.15,0.00,0.02,0.04,0.08,0.08,0.13,2.954,0.001,1.042,0.002,0.003,0.001,0.005,0.003,0.018,0.251,0.736,5.017,0.011,0.002,0.011,0.004,0.012,0.000,0.002,0.002,0.003,0.014,0.015,0.005,0.248,0.728,0.018
HF3-PR,HFZ,64.71,0.02,19.45,0.06,0.08,0.01,0.10,0.04,0.94,2.27,12.72,0.21,0.03,0.11,0.06,0.07,0.00,0.02,0.04,0.07,0.07,0.13,2.962,0.001,1.049,0.002,0.003,0.001,0.005,0.001,0.017,0.201,0.743,4.984,0.010,0.002,0.011,0.004,0.005,0.000,0.002,0.002,0.003,0.012,0.015,0.005,0.209,0.769,0.017
HF3-PR,HFZ,65.35,0.02,19.40,0.31,0.09,0.01,0.17,0.12,0.75,2.53,12.27,0.21,0.03,0.11,0.07,0.08,0.02,0.02,0.04,0.07,0.07,0.13,2.966,0.001,1.038,0.011,0.003,0.001,0.008,0.003,0.013,0.223,0.710,4.976,0.010,0.002,0.011,0.005,0.006,0.003,0.002,0.002,0.002,0.012,0.015,0.009,0.233,0.744,0.014
HF3-PR,HFZ,64.53,0.02,19.40,0.06,0.09,0.01,0.16,0.08,1.46,2.81,12.60,0.21,0.00,0.11,0.07,0.08,0.02,0.02,0.03,0.08,0.08,0.13,2.948,0.001,1.045,0.002,0.003,0.001,0.008,0.002,0.026,0.249,0.734,5.019,0.010,0.000,0.011,0.005,0.006,0.003,0.002,0.002,0.003,0.014,0.015,0.008,0.245,0.722,0.026
HF3-PR,HFZ,65.03,0.02,18.98,0.13,0.09,0.01,0.14,0.13,1.01,2.94,12.48,0.21,0.05,0.11,0.07,0.15,0.00,0.02,0.04,0.08,0.08,0.13,2.968,0.001,1.021,0.004,0.003,0.001,0.007,0.003,0.018,0.260,0.726,5.012,0.011,0.003,0.011,0.005,0.012,0.000,0.002,0.002,0.003,0.014,0.015,0.007,0.257,0.718,0.018
HF3-PR,HFZ,65.26,0.02,19.37,0.07,0.09,0.01,0.14,0.14,0.83,2.74,13.09,0.21,0.05,0.11,0.07,0.08,0.01,0.02,0.04,0.07,0.08,0.13,2.958,0.001,1.035,0.002,0.003,0.001,0.007,0.004,0.015,0.241,0.757,5.022,0.010,0.003,0.011,0.005,0.006,0.001,0.002,0.002,0.002,0.014,0.015,0.007,0.236,0.743,0.014
HF3-PR,HFZ,64.40,0.02,18.94,0.06,0.08,0.01,0.10,0.04,1.16,2.68,12.70,0.21,0.02,0.11,0.05,0.08,0.01,0.02,0.07,0.08,0.08,0.13,2.965,0.001,1.028,0.002,0.003,0.001,0.005,0.001,0.021,0.239,0.746,5.012,0.010,0.001,0.011,0.003,0.006,0.001,0.002,0.004,0.003,0.014,0.015,0.005,0.237,0.738,0.021
