Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
BB11-1,U,63.95,0.09,18.81,0.55,0,0,0.04,0.27,1.47,2.36,12.84,100.38,0.21,0.03,0.11,0.08,0.09,0,0.02,0.04,0.09,0.07,0.13,0.32,2.954,0.003,1.024,0.019,0,0,0.002,0.007,0.027,0.211,0.757,5.005,0.01,0.002,0.011,0.006,0,0,0.002,0.002,0.003,0.013,0.015,0.03,0.002,0.212,0.759,0.027,0.002,0.011,0.011,0.003
BB11-1,U,64.4,0,18.59,0.72,0,0,0,0.09,0.85,2.28,13.28,100.21,0.21,0.03,0.11,0.08,0.07,0.01,0,0.03,0.07,0.07,0.13,0.31,2.969,0,1.01,0.025,0,0,0,0.002,0.015,0.204,0.781,5.006,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.012,0.015,0.03,0,0.204,0.781,0.015,0,0.01,0.01,0.003
BB11-1,U,64.91,0,18.8,0.39,0,0,0,0.23,0.46,1.37,14.83,100.99,0.21,0.03,0.11,0.08,0.08,0.01,0.02,0.04,0.06,0.06,0.14,0.31,2.974,0,1.015,0.013,0,0,0,0.006,0.008,0.122,0.867,5.006,0.009,0,0.011,0.005,0,0,0,0.002,0.002,0.01,0.016,0.02,0,0.122,0.87,0.008,0,0.009,0.009,0.002
BB11-1,U,64.32,0,18.59,0.57,0,0,0,0.2,1.4,2.4,12.66,100.14,0.21,0.03,0.11,0.08,0.08,0,0,0.04,0.08,0.07,0.13,0.31,2.971,0,1.012,0.02,0,0,0,0.005,0.025,0.215,0.746,4.994,0.01,0,0.011,0.005,0,0,0,0.002,0.003,0.013,0.015,0.03,0,0.218,0.756,0.026,0,0.011,0.011,0.003
BB11-1,U,64.57,0,18.69,0.77,0,0,0,0.17,0.55,1.33,14.66,100.74,0.21,0.03,0.11,0.08,0.08,0,0.02,0.04,0.07,0.06,0.14,0.32,2.969,0,1.013,0.027,0,0,0,0.005,0.01,0.119,0.86,5.001,0.01,0,0.011,0.006,0,0,0,0.002,0.002,0.01,0.016,0.02,0,0.12,0.87,0.01,0,0.009,0.009,0.002
BB11-1,U,65.44,0,17.7,0.39,0,0,0,0,0.21,1.32,15.22,100.28,0.21,0.04,0.1,0.08,0.16,0,0.02,0.03,0.05,0.06,0.14,0.34,3.014,0,0.961,0.014,0,0,0,0,0.004,0.118,0.894,5.005,0.009,0,0.01,0.006,0,0,0,0,0.002,0.01,0.016,0.02,0,0.116,0.88,0.004,0,0.009,0.009,0.002
BB11-1,U,63.46,0,18.56,0.96,0,0,0,0.09,2.07,1.3,14.09,100.53,0.21,0.03,0.11,0.09,0,0.01,0,0.04,0.1,0.06,0.14,0.31,2.953,0,1.018,0.034,0,0,0,0.002,0.038,0.117,0.836,4.998,0.01,0,0.011,0.006,0,0,0,0.002,0.004,0.01,0.016,0.03,0,0.118,0.844,0.038,0,0.009,0.01,0.004
BB11-1,U,64.13,0.05,18.72,0.7,0,0,0,0.18,1.64,1.43,13.99,100.84,0.21,0.02,0.11,0.09,0.08,0,0.03,0.04,0.09,0.06,0.14,0.32,2.961,0.002,1.019,0.024,0,0,0,0.005,0.03,0.128,0.824,4.992,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.01,0.016,0.03,0,0.13,0.839,0.03,0,0.009,0.009,0.003
BB11-1,U,64.21,0,19.17,0.68,0,0,0,0.11,1.69,1.4,13.49,100.75,0.21,0.04,0.11,0.08,0.08,0.02,0.03,0.04,0.09,0.06,0.13,0.32,2.956,0,1.04,0.024,0,0,0,0.003,0.03,0.125,0.792,4.971,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.01,0.016,0.03,0,0.132,0.836,0.032,0,0.009,0.01,0.003
BB11-1,U,62.96,0.09,19.17,0.65,0,0,0,0,2.58,0.91,14.55,100.91,0.21,0.03,0.11,0.09,0.08,0.02,0.02,0.04,0.11,0.05,0.14,0.33,2.931,0.003,1.052,0.023,0,0,0,0,0.047,0.082,0.864,5.002,0.01,0.002,0.011,0.006,0,0,0,0,0.004,0.009,0.016,0.02,0,0.083,0.87,0.047,0,0.008,0.009,0.004
BB11-1,U,62.23,0,19.11,0.53,0,0,0,0.15,3.28,0.76,14.76,100.82,0.21,0.03,0.11,0.08,0.08,0.02,0.02,0.04,0.12,0.04,0.14,0.33,2.922,0,1.058,0.019,0,0,0,0.004,0.06,0.069,0.884,5.016,0.01,0,0.011,0.006,0,0,0,0.002,0.004,0.008,0.017,0.03,0,0.068,0.872,0.06,0,0.007,0.008,0.004
BB11-1,U,65.1,0,18.31,0.8,0,0,0,0.11,0.69,3.49,11.81,100.31,0.21,0.03,0.11,0.09,0.09,0,0.02,0.04,0.07,0.09,0.13,0.32,2.981,0,0.988,0.028,0,0,0,0.003,0.012,0.31,0.69,5.011,0.01,0,0.011,0.006,0,0,0,0.002,0.002,0.015,0.015,0.03,0,0.306,0.682,0.012,0,0.011,0.011,0.002
