Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
HF1-PR,IrZ,64.79,0,18.85,0,0,0,0.19,0,0.33,3,12.1,99.26,0.21,0,0.11,0.07,0.07,0,0.02,0.04,0.06,0.08,0.13,0.31,2.981,0,1.022,0,0,0,0.009,0,0.006,0.268,0.71,4.997,0.009,0,0.011,0,0,0,0.002,0,0.002,0.014,0.015,0.03,0.009,0.269,0.715,0.006,0.002,0.011,0.011,0.002
HF1-PR,IrZ,63.33,0,19.93,0,0,0,0.28,0.16,2.19,2.68,11.31,99.88,0.21,0.04,0.11,0.07,0.09,0.01,0.03,0.04,0.1,0.08,0.12,0.32,2.929,0,1.086,0,0,0,0.014,0.004,0.04,0.24,0.667,4.981,0.009,0,0.011,0,0,0,0.003,0.002,0.004,0.014,0.014,0.02,0.014,0.25,0.694,0.041,0.003,0.012,0.012,0.004
HF1-PR,IrZ,64.05,0,19.37,0,0,0,0.17,0.17,1.49,2.74,12.2,100.19,0.21,0.03,0.11,0.07,0.08,0,0.02,0.04,0.09,0.08,0.13,0.32,2.951,0,1.052,0,0,0,0.008,0.005,0.027,0.245,0.717,5.004,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.008,0.245,0.719,0.027,0.002,0.011,0.011,0.003
HF1-PR,IrZ,62.87,0,19.86,0.21,0,0,0.3,0.22,2.57,2.47,11.01,99.51,0.21,0.03,0.11,0.08,0.09,0.01,0.03,0.04,0.11,0.07,0.12,0.33,2.925,0,1.089,0.007,0,0,0.015,0.006,0.047,0.223,0.653,4.965,0.01,0,0.011,0.005,0,0,0.003,0.002,0.004,0.013,0.014,0.03,0.016,0.238,0.697,0.05,0.003,0.011,0.011,0.004
HF1-PR,IrZ,64.76,0,19.2,0,0,0,0.2,0,0.71,2.92,12.27,100.06,0.21,0.03,0.11,0.08,0.09,0,0.02,0.04,0.08,0.08,0.13,0.32,2.967,0,1.037,0,0,0,0.01,0,0.013,0.259,0.717,5.003,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.01,0.26,0.718,0.013,0.002,0.011,0.011,0.003
HF13-3,MCZl,63.95,0,19.78,0,0,0,0.08,0,0.84,2.94,12.3,99.89,0.21,0.03,0.11,0.07,0,0.02,0.02,0.03,0.08,0.08,0.13,0.31,2.941,0,1.072,0,0,0,0.004,0,0.015,0.262,0.721,5.015,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.004,0.261,0.72,0.015,0.002,0.011,0.011,0.003
HF13-3,MCZl,62.69,0,19.5,0,0,0,0.1,0.1,1.34,2.71,11.94,98.38,0.21,0.03,0.11,0.07,0.09,0,0.02,0.04,0.09,0.07,0.13,0.32,2.937,0,1.076,0,0,0,0.005,0.003,0.025,0.246,0.713,5.005,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.005,0.249,0.721,0.025,0.002,0.011,0.011,0.003
HF13-3,MCZl,63.22,0,19.98,0,0,0,0.12,0,0.83,2.84,12.47,99.46,0.21,0.03,0.11,0.08,0.1,0,0.02,0.04,0.08,0.08,0.13,0.32,2.925,0,1.089,0,0,0,0.006,0,0.015,0.255,0.736,5.026,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.006,0.252,0.727,0.015,0.002,0.011,0.011,0.003
HF13-3,MCZl,63.22,0,19.44,0,0,0,0.15,0.15,0.38,3.61,11.7,98.65,0.21,0.04,0.11,0.08,0.1,0.01,0.03,0.04,0.07,0.09,0.13,0.32,2.938,0,1.065,0,0,0,0.007,0.004,0.007,0.325,0.693,5.039,0.009,0,0.011,0,0,0,0.003,0.002,0.003,0.015,0.015,0.03,0.007,0.315,0.671,0.007,0.003,0.011,0.011,0.003
HF13-3,MCZl,64.33,0,19.24,0,0.19,0,0.08,0,0.99,2.79,12.28,99.9,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.08,0.08,0.13,0.32,2.96,0,1.043,0,0.007,0,0.004,0,0.018,0.249,0.721,5.003,0.01,0,0.011,0,0.007,0,0.002,0,0.003,0.014,0.015,0.03,0.004,0.251,0.727,0.018,0.002,0.011,0.011,0.003
HF13-3,MCZl,63.74,0,19.29,0,0,0,0.12,0,1,2.85,12.14,99.14,0.21,0.03,0.11,0.07,0.09,0.01,0.02,0.04,0.08,0.08,0.13,0.32,2.954,0,1.054,0,0,0,0.006,0,0.018,0.256,0.718,5.006,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.006,0.257,0.719,0.018,0.002,0.011,0.011,0.003
HF13-3,MCZl,65.54,0,19.29,0,0,0,0.11,0.12,1.07,2.72,12.53,101.38,0.21,0,0.11,0.07,0.09,0,0.02,0.04,0.09,0.07,0.13,0.32,2.972,0,1.031,0,0,0,0.005,0.003,0.019,0.239,0.725,4.994,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.005,0.242,0.733,0.019,0.002,0.011,0.011,0.003
HF13-3,MCZl,59.88,0,25.24,0,0,0,6.52,0,0,6.56,0.79,98.99,0.21,0.03,0.13,0.07,0.09,0.01,0.1,0.04,0.05,0.11,0.04,0.32,2.688,0,1.335,0,0,0,0.314,0,0,0.571,0.045,4.953,0.01,0,0.012,0,0,0,0.009,0,0,0.019,0.004,0.03,0.337,0.614,0.049,0,0.01,0.01,0.004,0
HF13-3,MCZl,64.99,0,19.68,0.15,0,0,0.07,0,1,2.99,12.4,101.28,0.21,0.03,0.11,0.07,0.09,0.02,0.02,0.04,0.08,0.08,0.13,0.32,2.951,0,1.053,0.005,0,0,0.003,0,0.018,0.263,0.718,5.011,0.01,0,0.011,0.005,0,0,0.002,0,0.003,0.014,0.015,0.03,0.003,0.263,0.716,0.018,0.002,0.011,0.011,0.003
HF13-3,MCZl,64.5,0,19.54,0,0,0,0.12,0.11,1.13,2.76,12.14,100.3,0.21,0.04,0.11,0.08,0.1,0,0.02,0.04,0.08,0.08,0.13,0.33,2.955,0,1.055,0,0,0,0.006,0.003,0.02,0.245,0.71,4.994,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.006,0.25,0.723,0.021,0.002,0.011,0.011,0.003
HF13-3,MCZl,64.66,0,19.47,0.17,0,0,0.17,0,0.21,4.13,10.8,99.61,0.21,0.03,0.11,0.07,0.09,0.02,0.02,0.04,0.06,0.09,0.12,0.32,2.954,0,1.048,0.006,0,0,0.008,0,0.004,0.366,0.629,5.016,0.01,0,0.011,0.005,0,0,0.002,0,0.002,0.016,0.014,0.03,0.008,0.363,0.625,0.004,0.002,0.011,0.011,0.002
HF13-3,MCZl,63.13,0,18.99,0,0.2,0,0.11,0.08,0.62,3.07,12.4,98.6,0.21,0.03,0.11,0.07,0.1,0.02,0.02,0.03,0.07,0.08,0.13,0.32,2.948,0,1.045,0,0.008,0,0.006,0.002,0.011,0.278,0.739,5.037,0.01,0,0.011,0,0.008,0,0.002,0.002,0.003,0.014,0.016,0.03,0.005,0.269,0.715,0.011,0.002,0.011,0.011,0.003
HF13-3,MCZl,62.25,0,19.45,0,0,0,0.1,0.13,1.58,3.05,12.23,98.79,0.21,0.03,0.11,0.07,0.09,0.01,0.02,0.04,0.09,0.08,0.13,0.32,2.922,0,1.076,0,0,0,0.005,0.004,0.029,0.278,0.732,5.045,0.01,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.005,0.266,0.701,0.028,0.002,0.011,0.011,0.003
HF13-3,MCZl,63.92,0,19.5,0,0,0,0.09,0.08,1.11,2.71,12.3,99.71,0.21,0.03,0.11,0.07,0.1,0.01,0.02,0.03,0.08,0.08,0.13,0.32,2.95,0,1.06,0,0,0,0.004,0.002,0.02,0.242,0.724,5.003,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.004,0.245,0.731,0.02,0.002,0.011,0.011,0.003
HF13-3,MCZl,62.31,0,19.7,0,0.23,0,0.09,0,0.87,2.91,12.05,98.16,0.21,0,0.11,0.07,0.09,0.02,0.02,0.04,0.08,0.08,0.13,0.32,2.922,0,1.089,0,0.009,0,0.005,0,0.016,0.265,0.721,5.026,0.01,0,0.011,0,0.007,0,0.002,0,0.003,0.014,0.015,0.03,0.004,0.263,0.717,0.016,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.77,0,19.3,0.12,0,0,0.13,0.11,0.68,2.5,12.72,100.33,0.21,0.02,0.11,0.06,0.08,0,0.02,0.04,0.07,0.07,0.13,0.31,2.964,0,1.041,0.004,0,0,0.006,0.003,0.012,0.222,0.743,4.995,0.009,0,0.011,0.004,0,0,0.002,0.002,0.003,0.013,0.015,0.03,0.006,0.226,0.755,0.012,0.002,0.011,0.011,0.003
HF3-PR,HFZ,61.37,0,24.42,0.23,0,0,4.96,0.26,0,7.74,0.7,99.68,0.21,0.03,0.12,0.06,0.08,0.01,0.08,0.04,0.05,0.13,0.03,0.31,2.734,0,1.282,0.008,0,0,0.237,0.007,0,0.668,0.04,4.975,0.01,0,0.012,0.004,0,0,0.008,0.002,0,0.021,0.004,0.03,0.251,0.707,0.042,0,0.009,0.009,0.004,0
HF3-PR,HFZ,63.22,0,19.64,0,0,0,0.2,0.13,1.64,2.82,12.08,99.73,0.21,0.03,0.11,0,0.08,0.01,0.02,0.04,0.09,0.08,0.13,0.31,2.931,0,1.073,0,0,0,0.01,0.003,0.03,0.254,0.715,5.016,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.01,0.252,0.709,0.03,0.002,0.011,0.011,0.003
HF3-PR,HFZ,62.46,0,23.17,0.19,0,0,4.01,0,0,8.82,1.1,99.75,0.21,0.02,0.12,0.07,0.14,0,0.07,0.03,0.05,0.13,0.04,0.34,2.782,0,1.216,0.006,0,0,0.191,0,0,0.761,0.062,5.019,0.01,0,0.012,0.005,0,0,0.007,0,0,0.022,0.005,0.03,0.188,0.75,0.062,0,0.007,0.008,0.005,0
HF3-PR,HFZ,64.13,0,19.34,0,0,0,0.11,0,1.39,2.42,12.68,100.07,0.21,0.03,0.11,0.06,0.08,0,0.02,0.04,0.09,0.07,0.13,0.31,2.956,0,1.051,0,0,0,0.005,0,0.025,0.216,0.746,4.999,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.005,0.218,0.751,0.025,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.51,0,19.64,0,0.16,0,0.09,0,0.86,2.3,12.77,100.33,0.21,0.04,0.11,0.06,0.08,0.01,0.02,0.04,0.07,0.07,0.13,0.31,2.954,0,1.06,0,0.006,0,0.004,0,0.015,0.204,0.746,4.991,0.009,0,0.011,0,0.006,0,0.002,0,0.003,0.012,0.015,0.02,0.005,0.211,0.769,0.016,0.002,0.01,0.011,0.003
HF3-PR,HFZ,64.28,0,19.66,0,0,0,0.11,0.11,0.83,2.6,12.55,100.14,0.21,0,0.11,0.06,0.08,0.01,0.02,0.04,0.07,0.08,0.13,0.31,2.95,0,1.063,0,0,0,0.005,0.003,0.015,0.231,0.735,5.002,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.005,0.235,0.745,0.015,0.002,0.011,0.011,0.003
HF3-PR,HFZ,62.74,0,23.06,0.3,0,0,4.13,0.12,0,8.81,0.97,100.13,0.21,0.02,0.12,0.07,0.1,0.01,0.08,0.03,0.06,0.13,0.04,0.32,2.785,0,1.206,0.01,0,0,0.196,0.003,0,0.758,0.055,5.014,0.01,0,0.011,0.005,0,0,0.007,0.002,0,0.022,0.004,0.03,0.195,0.751,0.054,0,0.007,0.008,0.004,0
HF3-PR,HFZ,68.43,0,20.05,0,0,0,0.08,0,0,11.06,0.15,99.77,0.22,0.02,0.11,0.06,0.07,0.02,0.02,0.04,0.05,0.15,0.02,0.31,2.988,0,1.032,0,0,0,0.004,0,0,0.936,0.008,4.968,0.009,0,0.011,0,0,0,0.002,0,0,0.024,0.002,0.03,0.004,0.987,0.009,0,0.002,0.003,0.002,0
HF3-PR,HFZ,64.56,0,19.32,0,0,0,0.09,0.09,0.58,2.83,13.04,100.51,0.21,0,0.11,0.09,0.09,0,0.02,0.04,0.07,0.08,0.13,0.32,2.956,0,1.043,0,0,0,0.004,0.002,0.01,0.251,0.762,5.029,0.009,0,0.011,0,0,0,0.002,0.002,0.002,0.014,0.015,0.03,0.004,0.244,0.741,0.01,0.002,0.011,0.011,0.002
HF3-PR,HFZ,63.84,0,19.45,0,0,0,0.24,0.15,1.29,2.88,11.98,99.83,0.21,0.03,0.11,0.07,0.08,0.02,0.02,0.04,0.08,0.08,0.13,0.31,2.946,0,1.058,0,0,0,0.012,0.004,0.023,0.258,0.705,5.006,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.012,0.258,0.707,0.023,0.002,0.011,0.011,0.003
HF3-PR,HFZ,63.98,0,19.56,0,0,0,0.15,0,0.51,2.71,13.22,100.13,0.21,0.03,0.11,0.06,0.08,0.01,0.02,0.04,0.06,0.08,0.13,0.31,2.942,0,1.06,0,0,0,0.007,0,0.009,0.242,0.776,5.036,0.009,0,0.011,0,0,0,0.002,0,0.002,0.014,0.015,0.03,0.007,0.234,0.75,0.009,0.002,0.011,0.011,0.002
HF3-PR,HFZ,64.7,0,19.06,0.15,0,0,0.1,0,0.52,2.49,12.49,99.51,0.21,0.04,0.11,0.06,0.08,0.01,0.02,0.03,0.07,0.07,0.13,0.31,2.976,0,1.033,0.005,0,0,0.005,0,0.009,0.222,0.733,4.983,0.009,0,0.011,0.004,0,0,0.002,0,0.002,0.013,0.015,0.02,0.005,0.229,0.756,0.01,0.002,0.011,0.011,0.002
HF3-PR,HFZ,63.9,0,19.34,0.24,0,0,0.18,0.13,0.78,2.59,12.87,100.03,0.21,0.05,0.11,0.06,0.08,0,0.02,0.03,0.07,0.08,0.13,0.31,2.946,0,1.051,0.008,0,0,0.009,0.003,0.014,0.231,0.757,5.019,0.01,0,0.011,0.004,0,0,0.002,0.002,0.003,0.013,0.015,0.03,0.009,0.229,0.748,0.014,0.002,0.011,0.011,0.003
HF3-PR,HFZ,63.99,0.05,19.57,0,0,0,0.19,0.1,1.06,2.68,12.64,100.28,0.21,0.02,0.11,0.05,0.09,0,0.02,0.04,0.08,0.08,0.13,0.31,2.942,0.002,1.06,0,0,0,0.009,0.003,0.019,0.239,0.741,5.016,0.009,0.002,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.009,0.237,0.735,0.019,0.002,0.01,0.011,0.003
HF3-PR,HFZ,64.2,0,19.76,0.15,0,0,0.16,0,0.88,2.59,12.68,100.42,0.21,0.03,0.11,0.06,0.08,0,0.02,0.04,0.07,0.08,0.13,0.31,2.941,0,1.067,0.005,0,0,0.008,0,0.016,0.23,0.741,5.008,0.009,0,0.011,0.004,0,0,0.002,0,0.003,0.013,0.015,0.03,0.008,0.231,0.745,0.016,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.45,0,18.89,0.23,0,0,0.12,0.11,0.81,2.57,12.54,99.72,0.21,0.03,0.11,0.07,0.08,0.01,0.02,0.04,0.07,0.07,0.13,0.31,2.971,0,1.026,0.008,0,0,0.006,0.003,0.015,0.23,0.737,4.996,0.009,0,0.011,0.005,0,0,0.002,0.002,0.003,0.013,0.015,0.03,0.006,0.233,0.747,0.015,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.7,0,18.77,0,0,0,0.11,0,0.85,2.62,12.92,99.97,0.21,0.02,0.11,0.06,0.08,0.02,0.02,0.03,0.07,0.08,0.13,0.31,2.978,0,1.018,0,0,0,0.005,0,0.015,0.234,0.759,5.009,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.005,0.231,0.749,0.015,0.002,0.01,0.011,0.003
HF3-PR,HFZ,64.52,0,19.32,0,0,0,0.11,0.11,1.03,2.83,12.61,100.53,0.21,0.03,0.11,0.06,0.15,0,0.02,0.04,0.08,0.08,0.13,0.34,2.957,0,1.043,0,0,0,0.005,0.003,0.018,0.251,0.737,5.016,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.005,0.248,0.728,0.018,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.71,0,19.45,0,0,0,0.1,0,0.94,2.27,12.72,100.19,0.21,0.03,0.11,0.06,0.07,0,0.02,0.04,0.07,0.07,0.13,0.31,2.965,0,1.05,0,0,0,0.005,0,0.017,0.202,0.743,4.982,0.009,0,0.011,0,0,0,0.002,0,0.003,0.012,0.015,0.02,0.005,0.209,0.769,0.017,0.002,0.01,0.011,0.003
HF3-PR,HFZ,65.35,0,19.4,0.31,0,0,0.17,0.12,0.75,2.53,12.27,100.9,0.21,0.03,0.11,0.07,0.08,0.02,0.02,0.04,0.07,0.07,0.13,0.31,2.968,0,1.038,0.011,0,0,0.008,0.003,0.013,0.223,0.711,4.975,0.009,0,0.011,0.005,0,0,0.002,0.002,0.003,0.013,0.015,0.03,0.009,0.233,0.744,0.014,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.53,0,19.4,0,0,0,0.16,0.08,1.46,2.81,12.6,101.04,0.21,0,0.11,0.07,0.08,0.02,0.02,0.03,0.08,0.08,0.13,0.31,2.952,0,1.046,0,0,0,0.008,0.002,0.026,0.249,0.735,5.018,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.008,0.245,0.722,0.026,0.002,0.011,0.011,0.003
HF3-PR,HFZ,65.03,0,18.98,0.13,0,0,0.14,0.13,1.01,2.94,12.48,100.84,0.21,0.05,0.11,0.07,0.15,0,0.02,0.04,0.08,0.08,0.13,0.34,2.97,0,1.021,0.004,0,0,0.007,0.003,0.018,0.26,0.727,5.011,0.009,0,0.011,0.004,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.007,0.257,0.718,0.018,0.002,0.011,0.011,0.003
HF3-PR,HFZ,65.26,0,19.37,0,0,0,0.14,0.14,0.83,2.74,13.09,101.57,0.21,0.05,0.11,0.07,0.08,0.01,0.02,0.04,0.07,0.08,0.13,0.32,2.961,0,1.036,0,0,0,0.007,0.004,0.015,0.241,0.758,5.021,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.007,0.236,0.743,0.014,0.002,0.01,0.011,0.003
HF3-PR,HFZ,64.4,0,18.94,0,0,0,0.1,0,1.16,2.68,12.7,99.98,0.21,0.02,0.11,0.05,0.08,0.01,0.02,0.07,0.08,0.08,0.13,0.32,2.969,0,1.029,0,0,0,0.005,0,0.021,0.24,0.747,5.01,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.005,0.237,0.738,0.021,0.002,0.01,0.011,0.003
HF3-PR,HFZ,65.49,0,19.11,0,0,0,0.12,0,0.22,2.56,12.8,100.3,0.21,0.02,0.11,0.07,0.08,0.01,0.02,0.03,0.05,0.07,0.13,0.31,2.983,0,1.026,0,0,0,0.006,0,0.004,0.226,0.744,4.989,0.009,0,0.011,0,0,0,0.002,0,0.002,0.013,0.015,0.02,0.006,0.231,0.759,0.004,0.002,0.011,0.011,0.002
HF3-PR,HFZ,65.31,0,19.28,0,0,0,0.11,0.11,0.74,2.52,13.38,101.45,0.21,0.02,0.11,0.07,0.09,0.01,0.02,0.03,0.07,0.07,0.13,0.32,2.966,0,1.032,0,0,0,0.005,0.003,0.013,0.222,0.775,5.016,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.005,0.218,0.763,0.013,0.002,0.011,0.011,0.003
HF3-PR,HFZ,65.64,0,19.22,0,0,0,0.17,0.16,1.1,2.5,12.61,101.4,0.21,0.03,0.11,0.06,0.08,0.01,0.02,0.04,0.08,0.07,0.13,0.31,2.976,0,1.027,0,0,0,0.008,0.004,0.02,0.22,0.729,4.985,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.008,0.225,0.747,0.02,0.002,0.011,0.011,0.003
HF3-PR,HFZ,65.1,0,18.96,0,0,0,0.16,0,1.16,2.57,12.96,100.91,0.21,0.03,0.11,0.07,0.1,0,0.02,0.04,0.08,0.07,0.13,0.32,2.974,0,1.021,0,0,0,0.008,0,0.021,0.228,0.755,5.007,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.008,0.225,0.747,0.021,0.002,0.011,0.011,0.003
HF3-PR,HFZ,65.13,0,19.75,0,0,0,0.14,0.12,1.03,2.33,12.75,101.25,0.21,0.03,0.11,0.07,0.08,0.02,0.02,0.04,0.08,0.07,0.13,0.31,2.957,0,1.057,0,0,0,0.007,0.003,0.018,0.205,0.738,4.986,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.012,0.015,0.02,0.007,0.212,0.762,0.019,0.002,0.01,0.011,0.003
HF3-PR,HFZ,65.1,0,19.52,0,0,0,0.13,0,0.9,2.72,13.31,101.68,0.21,0.03,0.11,0,0.07,0.01,0.02,0.04,0.07,0.08,0.13,0.3,2.954,0,1.044,0,0,0,0.006,0,0.016,0.239,0.77,5.029,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.006,0.232,0.747,0.016,0.002,0.01,0.01,0.003
HF3-PR,HFZ,63.68,0,19.39,0,0,0,0.13,0.14,1.06,2.53,12.3,99.23,0.21,0,0.11,0.06,0.07,0,0.02,0.04,0.08,0.07,0.13,0.31,2.952,0,1.059,0,0,0,0.006,0.004,0.019,0.227,0.727,4.996,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.007,0.232,0.742,0.02,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.89,0,19.34,0,0,0,0.13,0,1.32,3.26,11.93,100.87,0.21,0.03,0.11,0.06,0.08,0,0.02,0.04,0.08,0.08,0.13,0.32,2.96,0,1.04,0,0,0,0.006,0,0.024,0.288,0.694,5.012,0.009,0,0.011,0,0,0,0.002,0,0.003,0.015,0.015,0.03,0.006,0.285,0.686,0.023,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.95,0,19.69,0,0,0,0.09,0,0.97,2.62,13.01,101.33,0.21,0.04,0.11,0.06,0.07,0.01,0.02,0.03,0.07,0.08,0.13,0.31,2.952,0,1.055,0,0,0,0.004,0,0.017,0.231,0.754,5.013,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.004,0.229,0.749,0.017,0.002,0.011,0.011,0.003
HF3-PR,HFZ,63.93,0,19.66,0,0,0,0.2,0.19,1.2,3.07,12.3,100.55,0.21,0.03,0.11,0.07,0.08,0.02,0.02,0.04,0.08,0.08,0.13,0.32,2.935,0,1.064,0,0,0,0.01,0.005,0.022,0.273,0.72,5.029,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.01,0.267,0.703,0.021,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.78,0,19.06,0,0,0,0.13,0,0.79,2.96,12.5,100.22,0.21,0.03,0.11,0.07,0.08,0.01,0.02,0.05,0.07,0.08,0.13,0.32,2.969,0,1.03,0,0,0,0.006,0,0.014,0.263,0.731,5.013,0.009,0,0.011,0,0,0,0.002,0,0.002,0.014,0.015,0.03,0.006,0.259,0.72,0.014,0.002,0.011,0.011,0.002
HF3-PR,HFZ,63.97,0,19.42,0.14,0,0,0.14,0,0.83,2.66,12.31,99.47,0.21,0.03,0.11,0.06,0.09,0.01,0.02,0.04,0.07,0.08,0.13,0.31,2.952,0,1.056,0.005,0,0,0.007,0,0.015,0.238,0.725,4.998,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.014,0.015,0.03,0.007,0.242,0.736,0.015,0.002,0.011,0.012,0.003
HF3-PR,HFZ,64.18,0,19.23,0,0,0.03,0.17,0.11,1.03,2.6,12.73,100.08,0.21,0.06,0.11,0.07,0.08,0.01,0.02,0.04,0.08,0.08,0.13,0.32,2.956,0,1.044,0,0,0.002,0.008,0.003,0.019,0.232,0.748,5.012,0.009,0,0.011,0,0,0.002,0.002,0.002,0.003,0.013,0.015,0.02,0.008,0.231,0.743,0.018,0.002,0.011,0.011,0.003
HF3-PR,HFZ,63.65,0,19.05,0,0,0,0.15,0.14,1.39,2.43,12.59,99.4,0.21,0.04,0.11,0.06,0.08,0.01,0.02,0.04,0.08,0.07,0.13,0.31,2.958,0,1.043,0,0,0,0.007,0.004,0.025,0.219,0.746,5.003,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.013,0.015,0.02,0.007,0.219,0.748,0.025,0.002,0.011,0.011,0.003
HF3-PR,HFZ,63.65,0,19.58,0,0,0,0.15,0,1.26,2.42,12.82,99.88,0.21,0.02,0.11,0.07,0.08,0.01,0.02,0.04,0.08,0.07,0.13,0.31,2.942,0,1.067,0,0,0,0.007,0,0.023,0.217,0.756,5.011,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.007,0.216,0.754,0.023,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.56,0,19.13,0,0,0.02,0.14,0,0.5,2.7,12.82,99.87,0.21,0,0.11,0.07,0.09,0.01,0.02,0.04,0.06,0.08,0.13,0.31,2.966,0,1.036,0,0,0.001,0.007,0,0.009,0.241,0.751,5.012,0.009,0,0.011,0,0,0.001,0.002,0,0.002,0.013,0.015,0.02,0.007,0.239,0.746,0.009,0.002,0.01,0.011,0.002
HF3-PR,HFZ,64.93,0,18.61,0,0,0,0.14,0,0.42,2.26,11.86,98.22,0.21,0.03,0.11,0.07,0.09,0,0.02,0.04,0.06,0.07,0.13,0.31,3.006,0,1.015,0,0,0,0.007,0,0.008,0.203,0.7,4.938,0.009,0,0.011,0,0,0,0.002,0,0.002,0.013,0.015,0.02,0.008,0.221,0.763,0.008,0.002,0.012,0.012,0.002
HF3-PR,HFZ,64.03,0,18.98,0,0,0,0.11,0,0.84,2.87,12.62,99.45,0.21,0.05,0.11,0.05,0.08,0.01,0.02,0.04,0.07,0.08,0.13,0.31,2.963,0,1.035,0,0,0,0.005,0,0.015,0.257,0.745,5.021,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.005,0.252,0.728,0.015,0.002,0.011,0.011,0.003
HF3-PR,HFZ,64.11,0,19.22,0,0,0,0.13,0,0.84,2.48,13.06,99.84,0.21,0.02,0.11,0,0.08,0,0.02,0.04,0.07,0.07,0.13,0.31,2.958,0,1.045,0,0,0,0.006,0,0.015,0.222,0.769,5.015,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.006,0.219,0.759,0.015,0.002,0.011,0.011,0.003
HF3-PR,HFZ,62.93,0,19.82,0.14,0,0,0.14,0,1.33,2.51,12.42,99.29,0.21,0.03,0.11,0.07,0.08,0,0.02,0.04,0.08,0.07,0.13,0.31,2.926,0,1.086,0.005,0,0,0.007,0,0.024,0.226,0.737,5.01,0.01,0,0.011,0.005,0,0,0.002,0,0.003,0.013,0.015,0.03,0.007,0.228,0.741,0.024,0.002,0.011,0.011,0.003
