Sample,Coal,SiO2,TiO2,Al2O3,Y2O3,Ce2O3,Fe2O3,CaO,P2O5,Nb2O5,Ta2O5,Total,sSiO2,sTiO2,sAl2O3,sY2O3,sCe2O3,sFe2O3,sCaO,sP2O5,sNb2O5,sTa2O5,sTotal,Si,Ti,Al,Y,Ce,Fe3,Ca,P,Nb,Ta,Sum,sSi,sTi,sAl,sY,sCe,sFe3,sCa,sP,sNb,sTa,sSum,Ce+Y,Al,Fe3,sCe+Y,sAl,sFe3
BB11-1,U,30.32,41.33,0.43,0,0.22,2.02,28.2,0,0,0,102.53,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.971,0.995,0.016,0,0.003,0.049,0.967,0,0,0,3,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.039,0.242,0.719,0.01,0.01,0.012
BB11-1,U,29.73,41.11,0.41,0.05,0.13,2.07,27.96,0.03,0.04,0,101.53,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.962,1,0.016,0.001,0.002,0.05,0.969,0.001,0.001,0,3.001,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.036,0.229,0.735,0.012,0.01,0.013
BB11-1,U,29.92,40.7,0.46,0.05,0.2,2.11,27.89,0.03,0.06,0,101.41,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.969,0.991,0.018,0.001,0.002,0.051,0.967,0.001,0.001,0,3.001,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.045,0.244,0.711,0.011,0.01,0.013
BB11-1,U,29.87,41.37,0.4,0.05,0.24,2.04,27.95,0.04,0,0,101.96,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.962,1.003,0.015,0.001,0.003,0.049,0.965,0.001,0,0,2.999,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.054,0.224,0.722,0.012,0.01,0.013
BB11-1,U,30.22,41.25,0.35,0.04,0.19,2.06,27.77,0.05,0.1,0,102.02,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.971,0.998,0.013,0.001,0.002,0.05,0.956,0.001,0.001,0,2.994,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.043,0.202,0.755,0.013,0.009,0.014
BB11-1,U,29.93,41.8,0.36,0,0.22,1.9,27.87,0,0.07,0,102.15,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.962,1.01,0.014,0,0.003,0.046,0.96,0,0.001,0,2.995,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.041,0.22,0.74,0.011,0.01,0.013
BB11-1,U,30.24,41.01,0.46,0.04,0.26,1.95,27.66,0.04,0.1,0,101.76,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.974,0.994,0.018,0.001,0.003,0.047,0.955,0.001,0.001,0,2.994,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.053,0.257,0.689,0.012,0.01,0.013
BB11-1,U,30.1,39.85,0.69,0.08,0.29,1.97,27.37,0,0.11,0,100.44,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.982,0.978,0.026,0.001,0.003,0.048,0.957,0,0.002,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.06,0.332,0.608,0.011,0.01,0.013
BB11-1,U,30.17,40.58,0.43,0.05,0.18,2.1,27.81,0.05,0.07,0,101.44,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.976,0.987,0.016,0.001,0.002,0.051,0.963,0.001,0.001,0,2.999,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.042,0.232,0.726,0.012,0.01,0.013
BB11-1,U,29.69,40.85,0.49,0.09,0.25,1.95,27.49,0.08,0.11,0,101,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.965,0.999,0.019,0.002,0.003,0.048,0.957,0.002,0.002,0,2.995,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.063,0.266,0.67,0.012,0.01,0.013
BB11-1,U,30.06,40.75,0.43,0.07,0.21,2.41,27.64,0,0.08,0,101.63,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.971,0.99,0.016,0.001,0.002,0.059,0.957,0,0.001,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0,0,0.011,0.046,0.207,0.747,0.011,0.008,0.012
