Sample,Coal,SiO2,TiO2,Al2O3,Y2O3,Ce2O3,Fe2O3,CaO,P2O5,Nb2O5,Ta2O5,Total,sSiO2,sTiO2,sAl2O3,sY2O3,sCe2O3,sFe2O3,sCaO,sP2O5,sNb2O5,sTa2O5,sTotal,Si,Ti,Al,Y,Ce,Fe3,Ca,P,Nb,Ta,Sum,sSi,sTi,sAl,sY,sCe,sFe3,sCa,sP,sNb,sTa,sSum,Ce+Y,Al,Fe3,sCe+Y,sAl,sFe3
GC12-3,Y,29.7,37.07,1.83,0.16,0.35,1.55,26.85,0.1,0.07,0,97.68,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.993,0.932,0.072,0.003,0.004,0.039,0.962,0.003,0.001,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.06,0.61,0.33,0.007,0.01,0.01
GC12-3,Y,29.53,35.56,1.66,0.16,0.21,1.95,26.99,0,0.14,0,96.2,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.004,0.91,0.066,0.003,0.003,0.05,0.984,0,0.002,0,3.022,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.045,0.545,0.41,0.008,0.01,0.01
GC12-3,Y,29.43,35.94,1.6,0.15,0.31,2.11,27.09,0,0.09,0,96.73,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.997,0.916,0.064,0.003,0.004,0.054,0.983,0,0.001,0,3.022,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.053,0.514,0.433,0.007,0.009,0.01
GC12-3,Y,29.5,35.78,1.59,0.18,0.3,1.92,26.8,0.04,0.15,0,96.26,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.003,0.915,0.064,0.003,0.004,0.049,0.976,0.001,0.002,0,3.017,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.059,0.531,0.41,0.007,0.01,0.01
HC13-1,Y,31.07,39.04,1.53,0.22,0.44,1.95,27.07,0,0.13,0,101.44,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1,0.945,0.058,0.004,0.005,0.047,0.933,0,0.002,0,2.995,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.078,0.507,0.415,0.009,0.01,0.011
HC13-1,Y,30.55,38.07,1.53,0.21,0.23,1.61,27.34,0.04,0.17,0,99.76,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1,0.937,0.059,0.004,0.003,0.04,0.959,0.001,0.002,0,3.005,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.062,0.562,0.377,0.01,0.012,0.012
HC13-1,Y,31.05,37.85,1.67,0.26,0.4,1.94,27.04,0.04,0.09,0,100.34,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.01,0.926,0.064,0.005,0.005,0.047,0.942,0.001,0.001,0,3.001,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.077,0.53,0.393,0.009,0.01,0.011
HC13-1,Y,31.28,38.6,1.41,0.17,0.4,1.8,26.88,0.06,0.14,0,100.74,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.012,0.939,0.054,0.003,0.005,0.044,0.932,0.002,0.002,0,2.991,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.073,0.512,0.415,0.01,0.011,0.012
HC13-1,Y,29.76,37.65,1.56,0.29,0.31,1.83,27.13,0.05,0.12,0,98.71,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.987,0.94,0.061,0.005,0.004,0.046,0.964,0.001,0.002,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.078,0.529,0.394,0.009,0.011,0.011
HC13-1,Y,30.61,38.18,1.54,0.29,0.32,1.83,26.81,0.06,0.13,0,99.77,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.001,0.939,0.059,0.005,0.004,0.045,0.94,0.002,0.002,0,2.997,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.079,0.523,0.399,0.009,0.011,0.011
HC13-1,Y,30.41,37.75,1.7,0.22,0.19,1.73,27.45,0,0.11,0,99.57,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.998,0.932,0.066,0.004,0.002,0.043,0.965,0,0.002,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.055,0.573,0.373,0.009,0.011,0.011
HC13-1,Y,29.82,37.41,1.58,0.25,0.23,1.79,27.16,0.04,0.12,0,98.4,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.991,0.936,0.062,0.004,0.003,0.045,0.968,0.001,0.002,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.543,0.394,0.009,0.011,0.011
HC13-1,Y,31.29,37.12,1.97,0.18,0.15,2.28,27.39,0.03,0.12,0,100.53,0.09,0.17,0.02,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.014,0.905,0.075,0.003,0.002,0.056,0.951,0.001,0.002,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.036,0.554,0.41,0.007,0.01,0.01
HC13-1,Y,30.9,37.74,1.65,0.29,0.27,1.91,27.17,0.05,0.15,0,100.14,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.007,0.925,0.063,0.005,0.003,0.047,0.949,0.001,0.002,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.07,0.535,0.396,0.009,0.011,0.011
HC13-1,Y,31.12,38.1,1.75,0.25,0.42,1.96,26.99,0.05,0.13,0,100.78,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.007,0.928,0.067,0.004,0.005,0.048,0.936,0.001,0.002,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.075,0.539,0.386,0.008,0.01,0.01
HC13-1,Y,29.94,37.57,1.72,0.25,0.26,1.95,27.01,0.04,0.14,0,98.86,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.99,0.935,0.067,0.004,0.003,0.048,0.957,0.001,0.002,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.061,0.545,0.394,0.008,0.011,0.011
HC13-1,Y,30.3,37.86,1.66,0.25,0.43,2.09,27.05,0.05,0.14,0,99.84,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.993,0.933,0.064,0.004,0.005,0.052,0.95,0.001,0.002,0,3.005,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.077,0.511,0.412,0.008,0.01,0.01
HC13-1,Y,30.83,37.88,1.66,0.22,0.38,2.05,27.14,0,0.09,0,100.23,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.005,0.928,0.064,0.004,0.004,0.05,0.947,0,0.001,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.067,0.521,0.412,0.009,0.01,0.011
HC13-1,Y,30.36,37.62,1.66,0.22,0.23,1.72,27.33,0,0.11,0,99.26,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.999,0.931,0.064,0.004,0.003,0.043,0.964,0,0.002,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.058,0.566,0.375,0.009,0.011,0.011
HC13-1,Y,30.84,38.14,1.68,0.28,0.31,1.95,27.01,0.03,0.13,0.16,100.53,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.002,0.932,0.064,0.005,0.004,0.048,0.94,0.001,0.002,0.001,2.999,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0.001,0.012,0.07,0.534,0.395,0.008,0.01,0.011
HC13-1,Y,30.38,37.56,1.71,0.23,0.29,1.93,27.16,0.03,0.11,0,99.4,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.999,0.929,0.066,0.004,0.003,0.048,0.957,0.001,0.002,0,3.008,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.062,0.545,0.392,0.009,0.011,0.011
HC13-1,Y,29.85,36.11,1.85,0.19,0.31,1.99,26.85,0,0.12,0,97.27,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.003,0.913,0.073,0.003,0.004,0.05,0.967,0,0.002,0,3.016,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.055,0.56,0.385,0.008,0.01,0.01
HC13-1,Y,29.24,37.48,1.42,0.12,0.25,1.85,27.13,0.1,0.09,0,97.68,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.981,0.946,0.056,0.002,0.003,0.047,0.975,0.003,0.001,0,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.048,0.52,0.432,0.01,0.011,0.012
HC13-1,Y,31.05,37.72,1.84,0.2,0.33,2.05,27.29,0.03,0.13,0,100.64,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.007,0.92,0.07,0.004,0.004,0.05,0.948,0.001,0.002,0,3.005,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.058,0.55,0.391,0.008,0.01,0.01
HF1-PR,IrZ,30.04,38.63,2.02,0.19,0.24,1.49,28.07,0.05,0.09,0,100.83,0.09,0.18,0.02,0.02,0.03,0.03,0.13,0.01,0.02,0.05,0.25,0.975,0.943,0.077,0.003,0.003,0.036,0.976,0.001,0.001,0,3.017,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.052,0.644,0.304,0.008,0.011,0.01
HF1-PR,IrZ,29.69,40.13,1.61,0.07,0.1,0.75,28.13,0.04,0.05,0,100.56,0.09,0.18,0.01,0.02,0.03,0.03,0.13,0.01,0.02,0.05,0.25,0.965,0.981,0.062,0.001,0.001,0.018,0.979,0.001,0.001,0,3.01,0.005,0.006,0.001,0.001,0.001,0.001,0.008,0.001,0,0,0.012,0.03,0.748,0.222,0.01,0.015,0.013
HF1-PR,IrZ,29.25,38.88,2.01,0.14,0.24,1.62,28.11,0.11,0.08,0,100.43,0.09,0.18,0.02,0.02,0.03,0.03,0.13,0.01,0.02,0.05,0.25,0.956,0.955,0.077,0.002,0.003,0.04,0.984,0.003,0.001,0,3.021,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.043,0.631,0.326,0.007,0.011,0.01
HF1-PR,IrZ,29.75,39.36,1.9,0.17,0.26,1.61,28.51,0.08,0.08,0,101.73,0.09,0.18,0.01,0.02,0.03,0.03,0.13,0.01,0.02,0.05,0.25,0.96,0.955,0.072,0.003,0.003,0.039,0.985,0.002,0.001,0,3.021,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.051,0.616,0.333,0.008,0.011,0.01
HF1-PR,IrZ,28.89,34.91,2.08,0.3,0.25,2.06,26.88,0,0.13,0,95.51,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.992,0.902,0.084,0.005,0.003,0.053,0.989,0,0.002,0,3.03,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.059,0.576,0.365,0.007,0.009,0.009
HF1-PR,IrZ,28.42,36,1.56,0.32,0.8,1.83,25.68,0.08,0.23,0,94.93,0.09,0.17,0.01,0.02,0.04,0.03,0.12,0.01,0.02,0.05,0.24,0.984,0.937,0.064,0.006,0.01,0.048,0.952,0.002,0.004,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.126,0.5,0.374,0.008,0.009,0.01
HF3-PR,HFZ,29.72,38.22,2.5,0.17,0.08,2.03,27.71,0.07,0.09,0,100.61,0.09,0.18,0.02,0.02,0.03,0.04,0.13,0.01,0.02,0.05,0.25,0.966,0.935,0.096,0.003,0.001,0.05,0.965,0.002,0.001,0,3.019,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.026,0.641,0.332,0.006,0.009,0.009
HF3-PR,HFZ,29.16,40.42,1.62,0.31,0.21,1.65,27.64,0.07,0.16,0,101.25,0.09,0.18,0.01,0.02,0.03,0.04,0.13,0.01,0.02,0.05,0.25,0.946,0.986,0.062,0.005,0.003,0.04,0.96,0.002,0.002,0,3.007,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.071,0.563,0.366,0.008,0.011,0.011
HF3-PR,HFZ,28.9,38.88,2.34,0.17,0.15,1.75,28.11,0.12,0.08,0,100.5,0.09,0.18,0.02,0.02,0.03,0.04,0.13,0.01,0.02,0.05,0.25,0.944,0.955,0.09,0.003,0.002,0.043,0.984,0.003,0.001,0,3.025,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.034,0.653,0.313,0.006,0.01,0.009
HF3-PR,HFZ,28.68,39.21,2.54,0.18,0.14,1.5,28.44,0.05,0.1,0,100.84,0.09,0.18,0.02,0.02,0.03,0.03,0.13,0.01,0.02,0.05,0.25,0.935,0.961,0.098,0.003,0.002,0.037,0.993,0.001,0.001,0,3.031,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.035,0.701,0.265,0.006,0.01,0.009
HH13-2,Y,30.39,38.11,1.84,0.27,0,1.67,27.28,0.04,0.21,0,99.81,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.993,0.937,0.071,0.005,0,0.041,0.955,0.001,0.003,0,3.006,0.005,0.006,0.001,0.001,0,0.002,0.008,0.001,0.001,0,0.012,0.041,0.607,0.352,0.005,0.01,0.011
HH13-2,Y,30.66,37.61,2.3,0.08,0.16,1.69,27.51,0.13,0.1,0,100.23,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.02,0.02,0.06,0.24,0.996,0.919,0.088,0.001,0.002,0.041,0.958,0.004,0.001,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.025,0.664,0.311,0.007,0.011,0.01
HH13-2,Y,30.71,37.86,1.86,0.23,0.16,1.76,27.26,0.05,0.16,0,100.04,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,1.001,0.928,0.071,0.004,0.002,0.043,0.952,0.001,0.002,0,3.005,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.049,0.593,0.359,0.008,0.011,0.011
HH13-2,Y,30.32,36.34,1.83,0.22,0.7,2.79,26.94,0,0.27,0.13,99.53,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.001,0.902,0.071,0.004,0.008,0.069,0.953,0,0.004,0.001,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0.001,0.012,0.081,0.466,0.453,0.007,0.008,0.009
HH13-2,Y,30.6,37.67,1.82,0.24,0.2,1.86,27.04,0.03,0.19,0,99.64,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,1.002,0.928,0.07,0.004,0.002,0.046,0.948,0.001,0.003,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.053,0.573,0.374,0.008,0.011,0.01
HH13-2,Y,30.28,36.44,2.06,0.23,0.14,2.09,27.4,0.05,0.25,0,98.93,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,1,0.905,0.08,0.004,0.002,0.052,0.97,0.001,0.004,0,3.018,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.042,0.582,0.376,0.007,0.01,0.01
HH13-2,Y,29.86,37.55,1.63,0.29,0.15,1.59,26.88,0.07,0.23,0,98.24,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.993,0.939,0.064,0.005,0.002,0.04,0.957,0.002,0.003,0,3.005,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.062,0.577,0.361,0.009,0.012,0.011
HH13-2,Y,30.15,37.59,1.84,0.29,0.12,1.71,27.46,0,0.19,0,99.34,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.992,0.93,0.071,0.005,0.001,0.042,0.968,0,0.003,0,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.053,0.594,0.353,0.008,0.011,0.011
HH13-2,Y,30.5,38.1,1.66,0.29,0.22,1.54,27.3,0.04,0.21,0,99.86,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.06,0.24,0.997,0.937,0.064,0.005,0.003,0.038,0.956,0.001,0.003,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.07,0.584,0.346,0.009,0.011,0.011
HH13-2,Y,31.07,39.15,1.65,0.33,0,0.92,27.21,0.04,0.3,0,100.66,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.06,0.24,1.003,0.951,0.063,0.006,0,0.022,0.941,0.001,0.004,0,2.992,0.005,0.006,0.001,0.001,0,0.001,0.008,0.001,0.001,0,0.011,0.063,0.692,0.246,0.007,0.013,0.013
HH13-2,Y,30.33,36.42,2.29,0.2,0.09,2.12,27.49,0.05,0.18,0,99.17,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.999,0.902,0.089,0.003,0.001,0.052,0.97,0.001,0.003,0,3.02,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.031,0.609,0.36,0.007,0.01,0.009
HH13-2,Y,30.34,38.18,1.64,0.28,0.11,1.62,27.32,0.08,0.22,0,99.78,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,0.993,0.94,0.063,0.005,0.001,0.04,0.958,0.002,0.003,0,3.005,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.056,0.58,0.365,0.009,0.012,0.011
HH13-2,Y,29.57,36.16,2.52,0.19,0,1.58,27.68,0.11,0.15,0,97.96,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.986,0.907,0.099,0.003,0,0.04,0.988,0.003,0.002,0,3.028,0.005,0.006,0.001,0.001,0,0.002,0.008,0.001,0.001,0,0.012,0.023,0.698,0.279,0.004,0.01,0.009
HH13-3,Y,29.01,37.63,1.76,0.3,0.15,1.56,27.42,0.04,0.18,0,98.05,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.97,0.947,0.069,0.005,0.002,0.039,0.983,0.001,0.003,0,3.019,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.062,0.599,0.34,0.008,0.011,0.011
HH13-3,Y,29.62,38.35,1.78,0.24,0,1.09,27.79,0.09,0.29,0,99.25,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.976,0.95,0.069,0.004,0,0.027,0.981,0.002,0.004,0,3.014,0.005,0.006,0.001,0.001,0,0.001,0.008,0.001,0.001,0,0.011,0.041,0.689,0.27,0.006,0.011,0.011
HH13-3,Y,30,37.84,1.65,0.2,0.29,1.54,27.52,0.07,0.21,0,99.31,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.988,0.938,0.064,0.004,0.004,0.038,0.972,0.002,0.003,0,3.012,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.064,0.585,0.35,0.008,0.011,0.011
HH13-3,Y,29.62,38.26,1.59,0.25,0.2,1.27,27.15,0.07,0.23,0,98.62,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.982,0.954,0.062,0.004,0.002,0.032,0.964,0.002,0.003,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.068,0.618,0.315,0.009,0.012,0.011
HH13-3,Y,29.77,37.98,1.56,0.32,0.32,1.5,27.2,0.07,0.16,0,98.9,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.986,0.946,0.061,0.006,0.004,0.037,0.965,0.002,0.002,0,3.008,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.089,0.565,0.346,0.009,0.011,0.011
HH13-3,Y,29.48,37.41,2.01,0.3,0.14,1.62,27.26,0,0.15,0,98.37,0.09,0.17,0.02,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.981,0.936,0.079,0.005,0.002,0.041,0.971,0,0.002,0,3.017,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.055,0.624,0.321,0.007,0.01,0.01
HH13-3,Y,28.77,36.92,1.98,0.3,0.11,1.61,27.56,0.05,0.22,0,97.52,0.09,0.17,0.02,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.968,0.934,0.079,0.005,0.001,0.041,0.993,0.002,0.003,0,3.027,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.053,0.623,0.324,0.007,0.01,0.01
HH13-3,Y,28.37,37.03,1.71,0.21,0.18,1.44,27.18,0.06,0.16,0,96.34,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.966,0.949,0.068,0.004,0.002,0.037,0.992,0.002,0.002,0,3.023,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.054,0.614,0.332,0.008,0.011,0.011
HH13-3,Y,28.23,35.62,2.05,0.24,0,1.8,27.25,0.05,0.17,0,95.39,0.09,0.16,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.23,0.971,0.922,0.083,0.004,0,0.046,1.004,0.001,0.003,0,3.035,0.005,0.006,0.001,0.001,0,0.002,0.008,0.001,0.001,0,0.012,0.032,0.62,0.347,0.005,0.01,0.01
HH13-3,Y,29.17,36.85,1.87,0.27,0.11,1.66,27.3,0.07,0.24,0,97.54,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.98,0.931,0.074,0.005,0.001,0.042,0.982,0.002,0.004,0,3.02,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.05,0.606,0.344,0.008,0.01,0.01
HH13-3,Y,29.61,37.74,1.4,0.24,0.47,1.77,27.03,0.04,0.23,0,98.55,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.986,0.945,0.055,0.004,0.006,0.044,0.964,0.001,0.003,0,3.008,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.091,0.503,0.406,0.009,0.01,0.011
HH13-3,Y,29.1,36.15,2.09,0.33,0.09,1.69,27.4,0.04,0.43,0,97.33,0.09,0.17,0.02,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.98,0.916,0.083,0.006,0.001,0.043,0.989,0.001,0.007,0,3.026,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.053,0.624,0.323,0.007,0.01,0.01
HH13-3,Y,29.53,38.04,1.45,0.27,0.3,1.49,27.03,0.08,0.25,0,98.43,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0,0.23,0.982,0.952,0.057,0.005,0.004,0.037,0.963,0.002,0.004,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.082,0.553,0.365,0.009,0.011,0.011
HH13-3,Y,29.01,36.75,1.83,0.22,0.13,1.6,27.28,0.05,0.19,0,97.05,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.979,0.933,0.073,0.004,0.002,0.041,0.987,0.001,0.003,0,3.022,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.046,0.612,0.341,0.008,0.011,0.01
HH13-3,Y,28.74,36.81,1.68,0.2,0.16,1.43,27.39,0.05,0.25,0,96.71,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.975,0.939,0.067,0.004,0.002,0.036,0.995,0.001,0.004,0,3.024,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.05,0.615,0.334,0.009,0.011,0.011
HH13-3,Y,28.8,36.63,1.99,0.3,0.14,1.63,27.1,0.06,0.25,0,96.9,0.09,0.17,0.02,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.974,0.932,0.079,0.005,0.002,0.042,0.982,0.002,0.004,0,3.022,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.056,0.619,0.325,0.007,0.01,0.01
HH13-3,Y,28.41,36.76,1.65,0.26,0.21,1.44,27.08,0.04,0.2,0,96.06,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.971,0.945,0.067,0.005,0.003,0.037,0.991,0.001,0.003,0,3.022,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.066,0.6,0.333,0.009,0.011,0.011
HH13-3,Y,29.81,37.5,1.72,0.24,0.12,1.44,27.17,0.06,0.17,0,98.23,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.991,0.938,0.067,0.004,0.001,0.036,0.968,0.002,0.002,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.052,0.617,0.331,0.008,0.011,0.011
HH13-3,Y,29.36,37.57,1.7,0.25,0.14,1.42,27.34,0.07,0.22,0,98.07,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.98,0.943,0.067,0.004,0.002,0.036,0.978,0.002,0.003,0,3.015,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.056,0.614,0.329,0.009,0.011,0.011
HTC12-1,W,30.14,37.43,1.12,0.11,0.24,2.32,26.73,0.05,0.14,0,98.28,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.003,0.937,0.044,0.002,0.003,0.058,0.953,0.001,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.046,0.411,0.543,0.008,0.009,0.01
HTC12-1,W,30.24,37.1,1.15,0.14,0.31,2.01,26.73,0.03,0.11,0,97.82,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.01,0.932,0.045,0.003,0.004,0.051,0.957,0.001,0.002,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.062,0.444,0.495,0.008,0.01,0.011
